当前日期;次日日期;涨跌幅(%);振幅(%);成交额(千万元);次日涨跌(1=涨,0=跌,-1=最新数据)
20250509;20250512;-1.300;5.832;328.968;1
20250508;20250509;1.540;4.185;370.880;0
20250507;20250508;0.440;3.696;391.358;1
20250506;20250507;6.570;8.257;533.038;1
20250430;20250506;1.910;3.325;197.929;1
20250429;20250430;-1.880;3.555;214.499;1
20250428;20250429;-2.290;3.440;181.468;0
20250425;20250428;0.000;2.059;150.806;0
20250424;20250425;-3.750;3.982;214.332;0
20250423;20250424;1.340;1.552;216.578;0
20250422;20250423;-1.320;2.643;168.225;1
20250421;20250422;3.660;4.805;212.123;0
20250418;20250421;0.000;2.069;158.307;1
20250417;20250418;0.000;3.233;162.259;0
20250416;20250417;-2.890;4.709;217.478;0
20250415;20250416;-1.100;3.326;250.910;0
20250414;20250415;1.790;2.851;330.636;0
20250411;20250414;2.760;7.692;426.682;1
20250410;20250411;2.350;3.704;386.744;1
20250409;20250410;5.720;20.000;512.634;1
20250408;20250409;-6.510;9.500;409.484;1
20250407;20250408;-10.040;5.145;143.758;0
20250403;20250407;-0.830;2.306;165.386;0
20250402;20250403;-0.410;2.079;171.918;0
20250401;20250402;-0.820;3.030;205.192;0
20250331;20250401;-2.980;5.422;360.133;0
20250328;20250331;-2.140;3.107;268.207;0
20250327;20250328;-1.720;3.455;283.622;0
20250326;20250327;1.360;3.529;273.682;0
20250325;20250326;-2.460;3.409;287.725;1
20250324;20250325;-2.220;6.654;485.580;0
20250321;20250324;-4.750;4.278;548.083;0
20250320;20250321;-0.700;3.665;507.726;0
20250319;20250320;-1.890;1.560;420.914;0
20250318;20250319;-2.020;2.881;685.488;0
20250317;20250318;2.590;3.966;978.012;0
20250314;20250317;1.750;2.967;754.232;1
20250313;20250314;-2.230;4.991;951.787;1
20250312;20250313;-1.850;5.500;1806.188;0
20250311;20250312;10.000;12.806;1036.954;0
20250310;20250311;-0.370;3.166;383.102;1
20250307;20250310;-1.450;6.972;662.915;0
20250306;20250307;1.850;3.333;599.908;0
20250305;20250306;3.250;5.792;561.726;1
20250304;20250305;0.580;4.305;390.384;1
20250303;20250304;-3.530;8.523;608.289;1
20250228;20250303;-9.110;8.247;921.817;0
20250227;20250228;3.130;9.649;1126.019;0
20250226;20250227;1.770;4.433;681.995;1
20250225;20250226;-1.570;5.714;655.556;1
20250224;20250225;-4.490;4.034;901.886;0
20250221;20250224;-1.310;3.279;1067.204;0
20250220;20250221;1.000;9.564;1637.068;0
20250219;20250220;4.150;7.218;1490.711;1
20250218;20250219;1.050;8.839;1647.296;1
20250217;20250218;3.620;5.636;1085.698;1
20250214;20250217;-6.430;5.565;1174.294;1
20250213;20250214;4.790;12.522;1892.674;0
20250212;20250213;0.530;5.818;1336.185;1
20250211;20250212;-3.440;7.288;1700.203;1
20250210;20250211;10.040;9.594;2005.658;0
20250207;20250210;10.000;11.019;1624.322;1
20250206;20250207;4.350;6.926;753.601;1
20250205;20250206;4.070;4.260;589.273;1
20250127;20250205;-6.160;7.627;438.645;1
20250124;20250127;0.430;8.026;785.195;0
20250123;20250124;0.430;6.067;793.214;1
20250122;20250123;-4.110;3.758;606.922;1
20250121;20250122;-4.700;6.849;940.087;0
20250120;20250121;-1.540;6.923;1127.182;0
20250117;20250120;5.060;9.796;1611.972;0
20250116;20250117;1.650;5.123;1401.283;1
20250115;20250116;5.420;6.148;1644.589;1
20250114;20250115;10.020;7.710;512.683;1
20250113;20250114;-8.520;7.045;882.908;1
20250110;20250113;1.330;9.932;1361.738;0
20250109;20250110;-1.090;6.565;1730.521;1
20250108;20250109;10.120;7.674;1318.352;0
20250107;20250108;10.080;9.788;736.980;1
20250106;20250107;-4.800;6.410;510.728;1
20250103;20250106;-7.910;9.133;677.315;0
20250102;20250103;2.870;11.244;936.236;0
